,origin,age,gender,education,job_title,coding_experience,salary,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7
172,349,40-44,Man,Doctoral degree,Research Scientist,10-20 years,"80,000-89,999",1,,1,,,,
174,356,40-44,Man,Master’s degree,DBA/Database Engineer,10-20 years,"50,000-59,999",1,,,,,1,
175,357,30-34,Man,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,"100,000-124,999",1,,1,1,1,,
176,358,22-24,Man,Master’s degree,Data Analyst,< 1 years,"40,000-49,999",1,,1,,,,
177,360,30-34,Man,Doctoral degree,Software Engineer,10-20 years,"10,000-14,999",1,"1",1,,,,
178,361,40-44,Man,Master’s degree,Product/Project Manager,1-2 years,"60,000-69,999",1,,,,,,
179,365,22-24,Man,Bachelor’s degree,Data Scientist,1-2 years,"> $500,000",,,1,,,1,
180,367,25-29,Man,Bachelor’s degree,Data Analyst,3-5 years,"20,000-24,999",1,,,,,,
181,370,22-24,Man,Bachelor’s degree,Data Engineer,I have never written code,"5,000-7,499",1,"1",,,,,
182,371,35-39,Man,Master’s degree,Product/Project Manager,< 1 years,"5,000-7,499",1,,,,,,
183,372,25-29,Man,Master’s degree,Data Scientist,3-5 years,"40,000-49,999",,,1,1,,,
185,376,25-29,Woman,Master’s degree,Data Scientist,3-5 years,$0-999,,,,,,,
186,377,35-39,Man,Master’s degree,Data Scientist,10-20 years,"150,000-199,999",,"1",,,1,,
187,378,45-49,Man,Doctoral degree,Research Scientist,20+ years,"125,000-149,999",,,1,,1,1,
189,383,40-44,Woman,Master’s degree,Machine Learning Engineer,< 1 years,"10,000-14,999",,,1,,,1,
190,387,25-29,Man,Master’s degree,Business Analyst,1-2 years,"50,000-59,999",1,,,,,,
193,390,25-29,Man,Master’s degree,Business Analyst,1-2 years,"80,000-89,999",1,,,,,,
194,391,40-44,Woman,Doctoral degree,Software Engineer,5-10 years,"20,000-24,999",1,,1,,,,
195,392,18-21,Woman,Bachelor’s degree,Data Scientist,3-5 years,$0-999,,,,,,,None of these activities are an important part of my role at work
197,394,40-44,Man,Bachelor’s degree,Machine Learning Engineer,10-20 years,$0-999,,,,1,,,
198,396,45-49,Man,Master’s degree,Business Analyst,< 1 years,"40,000-49,999",1,,,,,,
199,399,35-39,Man,Master’s degree,Research Scientist,1-2 years,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
200,401,50-54,Man,Bachelor’s degree,Machine Learning Engineer,20+ years,"90,000-99,999",1,,,,,,
201,403,18-21,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,,,,,,,None of these activities are an important part of my role at work
202,410,25-29,Woman,Doctoral degree,Research Scientist,5-10 years,$0-999,,,,,,,None of these activities are an important part of my role at work
203,413,25-29,Man,Master’s degree,Business Analyst,1-2 years,"50,000-59,999",,,,,,,None of these activities are an important part of my role at work
204,415,25-29,Man,Master’s degree,Data Engineer,5-10 years,"10,000-14,999",,"1",,,1,,
205,416,45-49,Man,Some college/university study without earning a bachelor’s degree,Data Scientist,1-2 years,"40,000-49,999",1,,,,1,,
206,422,18-21,Man,Bachelor’s degree,Data Scientist,< 1 years,$0-999,,,,,1,,
207,423,18-21,Man,Bachelor’s degree,Software Engineer,5-10 years,$0-999,1,,1,1,,,
208,424,25-29,Man,Master’s degree,Business Analyst,3-5 years,"100,000-124,999",1,"1",1,,,,
209,425,35-39,Man,Master’s degree,Data Analyst,3-5 years,"50,000-59,999",1,,,,,,
210,426,25-29,Woman,Master’s degree,Data Engineer,1-2 years,"5,000-7,499",1,"1",,1,,,
211,428,30-34,Man,Master’s degree,Data Analyst,3-5 years,"2,000-2,999",1,,,,,,
212,429,25-29,Man,Master’s degree,Data Scientist,5-10 years,$0-999,1,,1,,,,
213,430,22-24,Woman,Master’s degree,Data Analyst,< 1 years,"1,000-1,999",1,,,,,,
214,432,55-59,Man,Bachelor’s degree,Statistician,20+ years,"25,000-29,999",1,,,,,,
215,433,30-34,Man,Doctoral degree,Research Scientist,5-10 years,"60,000-69,999",,,,,1,1,
216,435,22-24,Woman,Master’s degree,Software Engineer,3-5 years,$0-999,1,,,,,,
217,436,45-49,Woman,Master’s degree,Data Analyst,1-2 years,"15,000-19,999",1,,,,,,
218,437,35-39,Other,Master’s degree,Data Scientist,10-20 years,"125,000-149,999",1,,1,1,1,1,
219,438,30-34,Man,Master’s degree,Data Scientist,3-5 years,"2,000-2,999",1,,1,1,,,
220,440,22-24,Man,Master’s degree,Business Analyst,< 1 years,"1,000-1,999",1,,,,,,
221,441,55-59,Man,No formal education past high school,Business Analyst,I have never written code,"2,000-2,999",1,,,,,,
222,442,25-29,Woman,Doctoral degree,Research Scientist,1-2 years,$0-999,,,1,1,1,1,
223,443,50-54,Man,Master’s degree,Product/Project Manager,20+ years,"150,000-199,999",1,"1",1,1,1,1,
224,445,45-49,Man,Master’s degree,Data Scientist,3-5 years,"20,000-24,999",,"1",,1,1,1,
225,446,50-54,Man,Bachelor’s degree,Software Engineer,20+ years,"30,000-39,999",,,1,1,,,
226,447,45-49,Man,Professional degree,Data Scientist,20+ years,"15,000-19,999",1,,1,,1,1,
227,448,18-21,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,,,1,1,,,
228,449,50-54,Man,Master’s degree,Product/Project Manager,3-5 years,"125,000-149,999",1,,,,,,
229,451,35-39,Man,Master’s degree,Data Scientist,5-10 years,"40,000-49,999",,"1",1,,,,
230,453,22-24,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,1,,1,1,1,,
231,454,25-29,Man,Bachelor’s degree,Data Scientist,5-10 years,"15,000-19,999",1,"1",1,,1,,
232,455,60-69,Man,Professional degree,Business Analyst,20+ years,"100,000-124,999",1,"1",,,,,
233,456,22-24,Man,Bachelor’s degree,Software Engineer,1-2 years,$0-999,,,,,1,1,
235,462,35-39,Man,Master’s degree,Machine Learning Engineer,10-20 years,"100,000-124,999",1,"1",1,1,1,,
236,466,40-44,Man,Master’s degree,Data Scientist,< 1 years,"25,000-29,999",1,"1",,1,1,1,
237,470,18-21,Man,Bachelor’s degree,Machine Learning Engineer,< 1 years,$0-999,,,1,1,,,
238,474,22-24,Man,Bachelor’s degree,Data Analyst,< 1 years,"80,000-89,999",1,,,,,,
239,475,50-54,Man,Bachelor’s degree,Data Engineer,20+ years,"100,000-124,999",1,"1",,,,,
240,476,45-49,Man,Master’s degree,Machine Learning Engineer,5-10 years,$0-999,,,1,,,,
242,479,30-34,Man,Master’s degree,Software Engineer,3-5 years,"10,000-14,999",,,,,1,,
244,482,45-49,Woman,I prefer not to answer,Software Engineer,10-20 years,"5,000-7,499",1,,,,,,
245,483,45-49,Other,Bachelor’s degree,Product/Project Manager,5-10 years,"30,000-39,999",1,,1,,,,
246,487,22-24,Man,Bachelor’s degree,Data Analyst,< 1 years,$0-999,1,"1",,,,,
247,488,30-34,Woman,Master’s degree,Data Engineer,5-10 years,"100,000-124,999",1,"1",1,,,,
248,489,45-49,Man,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,"90,000-99,999",1,,,,,1,
249,490,22-24,Man,Master’s degree,Data Analyst,3-5 years,"70,000-79,999",1,"1",1,1,1,1,
250,491,22-24,Man,Master’s degree,Data Scientist,1-2 years,"30,000-39,999",1,"1",,,,,
251,492,35-39,Man,Doctoral degree,Product/Project Manager,5-10 years,"15,000-19,999",,,,,,,
254,496,25-29,Woman,Master’s degree,Data Analyst,I have never written code,$0-999,1,,,,,,
255,497,22-24,Man,Bachelor’s degree,Data Analyst,< 1 years,"7,500-9,999",,,,,,,
256,501,22-24,Man,Master’s degree,Machine Learning Engineer,5-10 years,"50,000-59,999",,"1",1,1,1,,
257,502,25-29,Man,Master’s degree,Data Analyst,5-10 years,"15,000-19,999",,,,,,,None of these activities are an important part of my role at work
258,503,25-29,Man,Bachelor’s degree,Data Scientist,5-10 years,"60,000-69,999",1,"1",1,1,1,,
260,505,22-24,Man,Master’s degree,Data Scientist,1-2 years,"20,000-24,999",,"1",1,,1,1,
261,506,22-24,Man,Bachelor’s degree,DBA/Database Engineer,< 1 years,$0-999,1,,,,,,
262,507,30-34,Man,Master’s degree,Data Analyst,3-5 years,"70,000-79,999",1,,1,,,,
263,512,40-44,Man,Doctoral degree,Business Analyst,10-20 years,"50,000-59,999",1,,,,,,
264,514,30-34,Man,Master’s degree,Data Analyst,3-5 years,$0-999,,,,,,,None of these activities are an important part of my role at work
265,516,50-54,Man,Master’s degree,Software Engineer,10-20 years,"125,000-149,999",1,,,,1,,
266,517,25-29,Man,Master’s degree,Software Engineer,1-2 years,"30,000-39,999",,,1,,1,,
267,521,30-34,Man,Doctoral degree,Research Scientist,5-10 years,$0-999,,,,1,1,1,
268,522,18-21,Woman,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,,,,1,1,,
269,524,30-34,Man,Bachelor’s degree,Data Analyst,3-5 years,"25,000-29,999",1,"1",,1,,,
270,527,50-54,Man,Master’s degree,Product/Project Manager,10-20 years,"50,000-59,999",,,,,,,None of these activities are an important part of my role at work
271,529,35-39,Man,Bachelor’s degree,Data Scientist,5-10 years,"25,000-29,999",1,"1",1,1,,,
272,530,40-44,Man,Master’s degree,Product/Project Manager,3-5 years,"60,000-69,999",1,,,,,,
273,531,30-34,Man,Professional degree,Data Scientist,< 1 years,"1,000-1,999",1,,,,,,
274,532,55-59,Man,Professional degree,Product/Project Manager,10-20 years,$0-999,1,,,,,,
275,535,45-49,Man,Master’s degree,Business Analyst,3-5 years,"100,000-124,999",1,"1",,,,,
276,538,35-39,Man,Bachelor’s degree,Product/Project Manager,3-5 years,"125,000-149,999",1,"1",,,,,
277,541,22-24,Man,Bachelor’s degree,Data Scientist,1-2 years,$0-999,1,,,1,,1,
278,542,50-54,Man,Master’s degree,Data Engineer,20+ years,"200,000-249,999",1,"1",,,,,
279,544,18-21,Man,Bachelor’s degree,Data Scientist,< 1 years,"300,000-500,000",1,,1,1,1,1,
280,546,35-39,Woman,Master’s degree,Software Engineer,5-10 years,"40,000-49,999",,,,,,,None of these activities are an important part of my role at work
281,547,30-34,Man,Master’s degree,Data Scientist,3-5 years,"4,000-4,999",1,,1,,1,1,
282,551,45-49,Man,Doctoral degree,Research Scientist,20+ years,"40,000-49,999",,,1,,1,1,
283,557,30-34,Man,Doctoral degree,Data Scientist,3-5 years,"30,000-39,999",,,,,1,,
284,558,70+,Woman,Doctoral degree,Data Scientist,20+ years,$0-999,,"1",1,,,,
286,561,25-29,Woman,Professional degree,Data Scientist,1-2 years,$0-999,,,,,,,
287,562,30-34,Man,Doctoral degree,Data Scientist,5-10 years,"100,000-124,999",1,,1,,1,1,
288,563,35-39,Woman,Doctoral degree,Research Scientist,10-20 years,"15,000-19,999",,,1,,,1,
289,565,25-29,Man,Doctoral degree,Machine Learning Engineer,5-10 years,"4,000-4,999",,,1,,,1,
290,566,30-34,Woman,Bachelor’s degree,Software Engineer,5-10 years,"7,500-9,999",1,,1,,,,
291,571,35-39,Man,Master’s degree,Data Scientist,10-20 years,"200,000-249,999",1,"1",1,1,1,,
292,573,45-49,Man,Master’s degree,Data Engineer,10-20 years,"80,000-89,999",1,"1",1,,1,1,
293,576,35-39,Man,Doctoral degree,Data Engineer,10-20 years,"50,000-59,999",,"1",,,,,
295,580,40-44,Man,Master’s degree,Software Engineer,10-20 years,"25,000-29,999",,,,,,,None of these activities are an important part of my role at work
296,582,45-49,Man,Doctoral degree,Research Scientist,20+ years,"100,000-124,999",1,,1,,,1,
297,583,40-44,Man,Doctoral degree,Data Scientist,10-20 years,"150,000-199,999",1,"1",,1,1,,
298,584,35-39,Man,Doctoral degree,Research Scientist,10-20 years,$0-999,,"1",1,,1,1,
299,585,45-49,Man,Bachelor’s degree,Business Analyst,3-5 years,"90,000-99,999",1,,,,,,
301,588,70+,Man,Doctoral degree,Research Scientist,20+ years,"25,000-29,999",1,,,,,,
302,589,35-39,Man,Master’s degree,Machine Learning Engineer,10-20 years,"30,000-39,999",1,,1,1,1,,
303,591,25-29,Man,Bachelor’s degree,Data Analyst,1-2 years,"3,000-3,999",1,,,,,,
304,595,25-29,Man,Bachelor’s degree,Data Analyst,1-2 years,"4,000-4,999",1,,,,,,
305,597,50-54,Man,Bachelor’s degree,Data Engineer,3-5 years,"30,000-39,999",1,,,1,,,
306,599,30-34,Man,Master’s degree,Data Analyst,< 1 years,$0-999,1,,,,,,
307,600,35-39,Man,Bachelor’s degree,Software Engineer,3-5 years,$0-999,1,"1",,,,,
309,602,25-29,Man,Bachelor’s degree,Machine Learning Engineer,< 1 years,"4,000-4,999",1,"1",1,1,1,1,
310,603,55-59,Man,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,"100,000-124,999",1,,1,,,,
311,606,22-24,Man,Master’s degree,Data Analyst,1-2 years,"1,000-1,999",1,"1",,1,,,
312,607,35-39,Man,Doctoral degree,Research Scientist,20+ years,"150,000-199,999",,,1,,,1,
313,608,22-24,Man,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years,$0-999,,,,,,,
